customer_id,customer_name,gender,age,city,state,country,signup_date,last_purchase_date,loyalty_score,total_orders,total_spent,churn_status,preferred_channel
9762,880,0,0.5000000000000001,56,9,6,2021-02-04,2024-11-21,0.7127659574468086,0.4117647058823529,0.07451750954767403,False,1
3353,1090,1,0.7692307692307693,84,75,13,2021-02-24,2024-12-14,0.648936170212766,0.29411764705882354,0.05704245816336554,False,2
6116,989,1,0.576923076923077,97,83,16,2020-05-24,2024-09-27,0.7127659574468086,0.29411764705882354,0.15625963608093119,False,1
3668,753,0,0.576923076923077,27,77,2,2020-04-26,2024-10-28,0.6808510638297872,0.23529411764705882,0.08967291560366286,False,2
1907,670,0,0.0961538461538462,3,83,16,2021-10-07,2024-08-31,0.49999999999999994,0.29411764705882354,0.04641586799001005,False,1
8738,1161,1,0.17307692307692313,56,9,6,2022-05-17,2024-12-02,0.851063829787234,0.5294117647058824,0.14943966003229545,False,2
6146,157,2,0.8076923076923078,64,16,8,2021-09-15,2024-09-13,0.5851063829787234,0.23529411764705882,0.07664209108385177,False,0
8788,858,0,0.7692307692307693,10,82,0,2020-08-21,2024-12-25,0.851063829787234,0.4117647058823529,0.14391884566424962,False,1
6070,647,0,0.3076923076923077,96,31,9,2020-05-09,2024-08-15,0.35106382978723405,0.1764705882352941,0.01148298628910577,False,0
9427,203,1,0.25,84,75,13,2021-06-21,2024-11-18,0.851063829787234,0.5882352941176471,0.21343877969997868,False,2
6930,218,1,0.21153846153846156,92,74,8,2022-02-12,2024-11-26,0.7659574468085106,0.23529411764705882,0.12079506745297268,False,0
7533,327,0,0.46153846153846156,96,36,9,2021-11-13,2024-09-11,0.6914893617021277,0.29411764705882354,0.6276449908300522,False,1
6030,52,1,0.2692307692307693,56,9,6,2022-04-09,2024-12-08,0.6276595744680851,0.4117647058823529,0.03943559521046365,False,0
7424,231,1,0.15384615384615385,27,77,2,2021-05-03,2024-12-25,0.8829787234042552,0.5294117647058824,0.160770797661444,False,3
4017,478,1,0.5192307692307693,32,73,4,2020-11-24,2024-05-31,0.39361702127659576,0.1764705882352941,0.05909165691257448,True,0
7339,1110,0,0.8076923076923078,86,50,1,2021-02-01,2024-12-12,0.8297872340425532,0.4117647058823529,0.1501572045203245,False,1
4177,464,1,0.326923076923077,22,71,15,2020-03-02,2024-11-07,0.7446808510638298,0.23529411764705882,0.18148265161552568,False,1
9540,259,1,0.5192307692307693,21,21,15,2021-03-04,2024-12-07,0.8617021276595745,0.5294117647058824,0.15622800996915695,False,0
4172,540,0,0.7500000000000001,7,62,12,2020-04-12,2024-12-25,0.8829787234042552,0.5294117647058824,0.1074514476906819,False,1
4242,908,0,0.326923076923077,65,90,5,2020-08-08,2024-12-09,0.6276595744680851,0.1764705882352941,0.059914693978919034,False,0
5409,345,0,0.42307692307692313,45,5,5,2021-03-05,2024-12-03,0.8404255319148937,0.47058823529411764,0.518515301351897,False,3
8216,1038,0,0.25,90,12,3,2021-04-16,2024-08-08,0.4787234042553192,0.29411764705882354,0.04800063945398601,False,1
6135,359,0,0.3846153846153847,7,62,12,2020-12-30,2024-12-16,0.8829787234042552,0.5882352941176471,0.2520910871010195,False,2
682,608,0,0.5961538461538463,59,74,8,2022-09-18,2024-07-12,0.44680851063829785,0.3529411764705882,0.04258087701157505,False,0
